2024-11-16 17:39:15 - addr(ip='192.168.1.111', port=61398) -> addr(ip='3.231.79.197', port=9000) - ESTABLISHED
2024-11-16 17:39:15 - addr(ip='192.168.1.111', port=61481) -> addr(ip='162.159.130.235', port=443) - ESTABLISHED
2024-11-16 17:39:15 - addr(ip='192.168.1.111', port=61380) -> addr(ip='54.205.197.111', port=443) - ESTABLISHED
2024-11-16 17:39:15 - addr(ip='192.168.1.111', port=57573) -> addr(ip='172.64.146.73', port=443) - ESTABLISHED
2024-11-16 17:39:15 - addr(ip='192.168.1.111', port=61464) -> addr(ip='150.171.85.254', port=443) - CLOSE_WAIT
2024-11-16 17:39:15 - addr(ip='192.168.1.111', port=61474) -> addr(ip='162.159.129.235', port=443) - ESTABLISHED
2024-11-16 17:39:15 - addr(ip='192.168.1.111', port=61253) -> addr(ip='162.159.129.235', port=443) - ESTABLISHED
2024-11-16 17:39:15 - addr(ip='::1', port=5426) -> addr(ip='::1', port=60909) - ESTABLISHED
2024-11-16 17:39:15 - addr(ip='::1', port=5426) -> addr(ip='::1', port=60916) - ESTABLISHED
2024-11-16 17:39:15 - addr(ip='::1', port=60907) -> addr(ip='::1', port=5426) - ESTABLISHED
2024-11-16 17:39:15 - addr(ip='192.168.1.111', port=61535) -> addr(ip='72.25.64.32', port=443) - TIME_WAIT
2024-11-16 17:39:15 - addr(ip='192.168.1.111', port=61420) -> addr(ip='185.199.108.154', port=443) - ESTABLISHED
2024-11-16 17:39:15 - addr(ip='::1', port=57519) -> addr(ip='::1', port=49933) - ESTABLISHED
2024-11-16 17:39:15 - addr(ip='192.168.1.111', port=60920) -> addr(ip='20.167.82.225', port=443) - ESTABLISHED
2024-11-16 17:39:15 - addr(ip='127.0.0.1', port=60880) -> addr(ip='127.0.0.1', port=65001) - ESTABLISHED
2024-11-16 17:39:15 - addr(ip='192.168.1.111', port=61485) -> addr(ip='44.208.96.239', port=443) - ESTABLISHED
2024-11-16 17:39:15 - addr(ip='192.168.1.111', port=61523) -> addr(ip='104.208.16.90', port=443) - ESTABLISHED
2024-11-16 17:39:15 - addr(ip='192.168.1.111', port=61437) -> addr(ip='49.231.112.42', port=443) - CLOSE_WAIT
2024-11-16 17:39:15 - addr(ip='192.168.1.111', port=61040) -> addr(ip='162.247.243.29', port=443) - ESTABLISHED
2024-11-16 17:39:15 - addr(ip='192.168.1.111', port=61522) -> addr(ip='117.18.232.200', port=443) - ESTABLISHED
2024-11-16 17:39:15 - addr(ip='::1', port=57528) -> addr(ip='::1', port=57520) - ESTABLISHED
