2024-11-17 03:05:31 - System Idle Process (PID: 0) - CPU: 1176.0%, MEM: 4.8108945593833975e-05%
2024-11-17 03:06:32 - System Idle Process (PID: 0) - CPU: 1159.5%, MEM: 4.8108945593833975e-05%
2024-11-17 03:08:02 - System Idle Process (PID: 0) - CPU: 1174.8%, MEM: 4.8108945593833975e-05%
2024-11-17 03:13:15 - System Idle Process (PID: 0) - CPU: 1156.3%, MEM: 4.8108945593833975e-05%
2024-11-17 03:14:16 - System Idle Process (PID: 0) - CPU: 1165.0%, MEM: 4.8108945593833975e-05%
2024-11-17 03:15:32 - System Idle Process (PID: 0) - CPU: 1158.5%, MEM: 4.8108945593833975e-05%
2024-11-17 03:17:52 - System Idle Process (PID: 0) - CPU: 1154.3%, MEM: 4.8108945593833975e-05%
2024-11-17 03:18:53 - System Idle Process (PID: 0) - CPU: 1166.0%, MEM: 4.8108945593833975e-05%
2024-11-17 03:19:53 - System Idle Process (PID: 0) - CPU: 1169.5%, MEM: 4.8108945593833975e-05%
2024-11-17 03:21:30 - System Idle Process (PID: 0) - CPU: 1159.6%, MEM: 4.8108945593833975e-05%
2024-11-17 03:22:31 - System Idle Process (PID: 0) - CPU: 1170.9%, MEM: 4.8108945593833975e-05%
2024-11-17 03:24:15 - System Idle Process (PID: 0) - CPU: 1169.0%, MEM: 4.8108945593833975e-05%
2024-11-17 03:25:27 - System Idle Process (PID: 0) - CPU: 1173.3%, MEM: 4.8108945593833975e-05%
2024-11-17 03:26:28 - System Idle Process (PID: 0) - CPU: 1167.9%, MEM: 4.8108945593833975e-05%
2024-11-17 03:27:58 - System Idle Process (PID: 0) - CPU: 1171.3%, MEM: 4.8108945593833975e-05%
2024-11-17 03:37:26 - System Idle Process (PID: 0) - CPU: 1164.3%, MEM: 4.8108945593833975e-05%
2024-11-17 03:39:23 - System Idle Process (PID: 0) - CPU: 1165.5%, MEM: 4.8108945593833975e-05%
2024-11-17 03:40:24 - System Idle Process (PID: 0) - CPU: 1165.3%, MEM: 4.8108945593833975e-05%
